time,side,entry,h3,h6,h12,h30,symbol,mode
2024-07-20 08:00:00,1,66446.0,0.009776359750775176,0.006010896065978377,0.015547963760045747,-0.03556873250459025,BTCUSDT,fixed
2024-07-20 20:00:00,1,67095.6,-0.0037290075653249044,0.015536041111488652,0.006015297575399758,-0.019712171886084984,BTCUSDT,fixed
2024-07-27 04:00:00,1,68013.5,0.002878840230248425,-0.007291199541267446,0.02201033618325776,-0.0546362119285142,BTCUSDT,fixed
2024-09-20 00:00:00,1,63723.2,-0.009462801616993533,-0.013467622467170481,-0.009955557787430513,0.010974025158811962,BTCUSDT,fixed
2024-09-20 16:00:00,1,62772.0,0.00458962594787482,0.006405722296565219,0.005738227235073001,0.006037723825909724,BTCUSDT,fixed
2024-09-27 20:00:00,1,65749.5,0.00018251089361887018,0.0011133164510757076,-0.002757435417759857,-0.077974737450475,BTCUSDT,fixed
2024-10-16 00:00:00,1,67064.5,0.009862147633993956,0.007539010952143155,0.006975374452952154,0.02793430205250158,BTCUSDT,fixed
2024-10-28 00:00:00,1,67698.1,0.011241083575462163,0.04770148645235217,0.0672367466738355,0.028092368914341526,BTCUSDT,fixed
2024-10-28 20:00:00,1,69939.9,0.02144841499630412,0.040028653172223594,0.03444528802586233,-0.008197037742404434,BTCUSDT,fixed
2024-11-08 00:00:00,1,75900.4,0.006889291756038363,0.005661366738515472,0.017175140051962856,0.14885165295571579,BTCUSDT,fixed
2024-11-08 16:00:00,1,76894.4,-0.004818296260846067,-0.009092989866622214,0.03770105495328657,0.1732817994548368,BTCUSDT,fixed
2024-11-10 08:00:00,1,79926.7,0.006045539225315144,0.02805070145520827,0.09136871658657242,0.12331673896207396,BTCUSDT,fixed
2024-11-11 00:00:00,1,81662.3,0.03002364616230513,0.07938424462695748,0.06779137986561734,0.11785854672229412,BTCUSDT,fixed
2024-11-13 16:00:00,1,90218.8,0.006651606982136737,-0.007938478454601494,0.002213507605953513,0.0048648397008161925,BTCUSDT,fixed
2024-11-20 20:00:00,1,94288.0,0.03951722382487688,0.04325895129815027,0.04914199049720014,-0.012981503478703527,BTCUSDT,fixed
2024-11-29 00:00:00,1,96646.5,0.014794120842451575,0.0006373743487866346,-0.002509144149038023,-0.008219645822662991,BTCUSDT,fixed
2024-11-29 20:00:00,1,97516.2,-0.012253348674373998,-0.01067514935979863,-0.002575982247052244,0.011829829300157302,BTCUSDT,fixed
2025-03-25 04:00:00,1,86404.5,0.019090440891388782,0.01970036282832499,0.011094329577741924,-0.03896787783043709,BTCUSDT,fixed
2025-04-22 04:00:00,1,88434.9,0.03303446942327071,0.06408895130768522,0.042191487749746015,0.06324200061288021,BTCUSDT,fixed
2025-05-02 20:00:00,1,96831.2,-0.009661142276456314,-0.010615380166723032,-0.026861176976015977,0.0016234436834408061,BTCUSDT,fixed
2025-05-07 08:00:00,1,97000.0,-0.00011958762886599139,0.024431958762886508,0.06097422680412379,0.06912371134020612,BTCUSDT,fixed
2025-05-10 00:00:00,1,103179.3,-0.000743366159685066,0.007448199396584476,0.008574394282574005,-0.004587160409113111,BTCUSDT,fixed
2025-05-21 12:00:00,1,108936.6,0.025880190863309283,0.021245384930317135,-0.00040482262159835525,0.009423830007545542,BTCUSDT,fixed
2025-05-21 20:00:00,1,109609.6,0.012174116135812874,0.018730111231133106,-0.021330248445391664,-0.0020326686713573183,BTCUSDT,fixed
2025-05-22 04:00:00,1,111005.8,0.0011747133933541765,-0.0028872365227763375,-0.031125400654740565,-0.013673159420498737,BTCUSDT,fixed
2025-05-22 12:00:00,1,111251.0,-0.0018606574322926894,-0.021199809439915174,-0.021230370962957545,-0.010424175962463256,BTCUSDT,fixed
2025-07-12 00:00:00,1,117730.0,-0.00555848127070413,-0.00015628981567994416,0.02550921600271816,0.0030646394292024315,BTCUSDT,fixed
2025-07-14 04:00:00,1,122731.0,-0.02290130447890104,-0.048511785938352925,-0.037071318574769196,-0.037448566376872994,BTCUSDT,fixed
2025-09-13 00:00:00,1,115913.6,-0.001658131573861965,-0.0024811583800348203,-0.0045369999723933185,0.013956084531927093,BTCUSDT,fixed
2025-09-13 20:00:00,1,115862.7,-0.0009727030355757282,-0.0056333919371808205,-0.004852295000893236,0.009963517162987046,BTCUSDT,fixed
