symbol,band,sharpe,ret,maxdd,trades
ENAUSDT,rolling q86/q14,-0.05723741574266759,-0.16309345975553557,-0.41266031683265836,79
ENAUSDT,rolling range 80/20,-0.5373056829330729,-0.24043266955107023,-0.3289432713923829,24
ETHUSDT,fixed,-0.059949611443519506,-0.04031031893914072,-0.18818718157522718,84
ETHUSDT,rolling q86/q14,-0.002393014836468764,-0.06618049258404157,-0.25451245455359284,127
ETHUSDT,rolling range 80/20,-0.3644937536993496,-0.12291051758468885,-0.19645552837770264,40
FETUSDT,fixed,-0.9211400428154488,-0.5145563130081863,-0.5344102733911056,39
FETUSDT,rolling q86/q14,-0.763831722730539,-0.7158543794696928,-0.7670586479186811,102
FETUSDT,rolling range 80/20,0.3221522208516917,0.14142002667247944,-0.2169277895913302,29
HYPEUSDT,fixed,-0.28447361898181256,-0.05217271182825489,-0.19042094839244172,18
HYPEUSDT,rolling q86/q14,1.2299792280045616,0.32231948748419015,-0.12103732039916282,43
HYPEUSDT,rolling range 80/20,0.5799068595971295,0.020288671589486995,-0.020366168978642518,8
LDOUSDT,fixed,-0.06454885383962243,-0.02748354258854313,-0.1123060703086054,36
LDOUSDT,rolling q86/q14,0.6055770839980071,0.5798494331820112,-0.3645561490338395,130
LDOUSDT,rolling range 80/20,0.10773435129865756,0.020385212118300577,-0.15448740038414777,27
OPUSDT,fixed,-0.2095047888534856,-0.10788988466106963,-0.16614521345561972,39
OPUSDT,rolling q86/q14,0.6782532561296075,0.7787928934364141,-0.2738912623809593,117
OPUSDT,rolling range 80/20,0.44417934295909556,0.1808809017527726,-0.2247666819377182,32
PENDLEUSDT,fixed,0.014278583504333777,-0.026866947945257125,-0.1895041809715483,53
PENDLEUSDT,rolling q86/q14,0.5125946105189902,0.4311369767850901,-0.621532596298902,110
PENDLEUSDT,rolling range 80/20,-0.19547240353996476,-0.13753686678015842,-0.32441435663779894,28
RENDERUSDT,fixed,-0.7508154777975944,-0.22952023881583727,-0.3461952716817487,24
RENDERUSDT,rolling q86/q14,0.0784983023674419,-0.03893956620872485,-0.4347772122169067,48
RENDERUSDT,rolling range 80/20,-0.23129547032280842,-0.0778176040414228,-0.17588782406758896,10
SEIUSDT,fixed,0.24392538157837068,0.08350740680306856,-0.14742410277896967,32
SEIUSDT,rolling q86/q14,-0.2612653768317692,-0.40608112487671966,-0.5347449090476979,101
SEIUSDT,rolling range 80/20,-0.07237327587178415,-0.07890693562160156,-0.236350455307627,46
SOLUSDT,fixed,0.10083423870307054,0.0100258058740057,-0.21269743690445087,87
SOLUSDT,rolling q86/q14,-0.027037737205207468,-0.1344502943586774,-0.2514345829904796,120
SOLUSDT,rolling range 80/20,-0.24336743585920334,-0.17227528701976835,-0.2396297362846903,44
SUIUSDT,fixed,-0.4149032163147693,-0.23779042828603314,-0.43090028228708743,39
SUIUSDT,rolling q86/q14,-0.28375321291704514,-0.39536211592754333,-0.44661030623323505,130
SUIUSDT,rolling range 80/20,-0.08719410932225564,-0.07496230095740308,-0.26144832099712023,26
TAOUSDT,fixed,-0.5231877691989433,-0.19262417765079587,-0.2584028673823129,31
TAOUSDT,rolling q86/q14,-0.3407361042304621,-0.29019032555297053,-0.4277637665572368,66
TAOUSDT,rolling range 80/20,-0.5684010953104319,-0.25128942001597065,-0.29506990172134095,20
TIAUSDT,fixed,1.144964948990261,0.4158707487761846,-0.10169308382145337,27
TIAUSDT,rolling q86/q14,0.7347090485818958,0.6488615445221522,-0.30203078018075546,93
TIAUSDT,rolling range 80/20,0.9604791134919802,0.26642854711182906,-0.10000166531478161,26
WIFUSDT,fixed,-0.12753802311846207,-0.1043133831819889,-0.25376848449816014,25
WIFUSDT,rolling q86/q14,-0.01618808778807968,-0.21238749355433706,-0.5181790479131911,64
WIFUSDT,rolling range 80/20,1.1121184574207117,0.6181705368083583,-0.1240910002001494,18
WLDUSDT,fixed,-1.0213084817225055,-0.5640841632610084,-0.6342683908325799,30
WLDUSDT,rolling q86/q14,-0.809632077898032,-0.6764361910140118,-0.7541865881760725,95
WLDUSDT,rolling range 80/20,-0.8542617685242737,-0.5454673766042475,-0.6353373363961725,32
XRPUSDT,fixed,-0.9339144270569871,-0.5640538238274366,-0.6240831204783898,54
XRPUSDT,rolling q86/q14,-0.8901687690908927,-0.6708541000645641,-0.7458957221693561,133
XRPUSDT,rolling range 80/20,0.12281008106860235,0.025932785187317675,-0.10684906538147132,20
