symbol,笔数,期望R,总R,最好一笔R,空头占比,去掉最好一笔后总R,最好一笔占比,历史长度,日均成交额,年化波动,全程涨跌,最大回撤,距高点,偏度,rule
CAKEUSDT,10,-0.2128565763472805,-2.128565763472805,2.981711588402432,0.6,-5.1102773518752365,,1017,17855764.4903,0.9883729574463703,-0.08784604564925513,-0.7761171002642084,-0.7248568067421364,1.3858476422662798,A 密集突破
QTUMUSDT,11,-0.1952887962189493,-2.148176758408442,2.9896947141882317,0.5454545454545454,-5.137871472596673,,1322,8339795.3081,0.8349057563982167,-0.6353567625133121,-0.8898048100383409,-0.8806552805855699,0.5304104357210906,A 密集突破
KASUSDT,10,-0.23713601319666386,-2.3713601319666386,2.9826265810425885,0.6,-5.353986713009228,,1002,15219831.829935,0.8950236611717215,-0.8150759613287781,-0.8769949396652394,-0.876216426625146,0.35875104545506803,A 密集突破
DASHUSDT,12,-0.2192620914709101,-2.631145097650921,2.987709573439347,0.5,-5.6188546710902685,,1322,12021984.316545,1.0061113041982235,-0.2856127044323299,-0.7543089161418628,-0.7502485913158767,2.0939210741982315,A 密集突破
INJUSDT,7,-0.43617487194900134,-3.0532241036430094,2.9946537763371146,0.2857142857142857,-6.047877879980124,,1322,88406066.5939,1.080894868333633,2.357704402515723,-0.9471949738865656,-0.9176896837480005,0.42987340828021925,A 密集突破
RLCUSDT,7,-0.43851497827803343,-3.069604847946234,2.987007510777299,0.2857142857142857,-6.056612358723533,,1322,6105359.48274,0.9741871256857135,-0.7642533549876058,-0.9463218092019756,-0.9402564769084135,1.4103788201676468,A 密集突破
STORJUSDT,7,-0.43868841219265825,-3.070818885348608,2.9912692085366146,0.2857142857142857,-6.062088093885222,,1322,11271318.34685,1.0275723464043365,-0.8271961492178099,-0.9608499010647319,-0.9594082728728918,1.4417923369034893,A 密集突破
ALICEUSDT,11,-0.28011800379567064,-3.081298041752377,2.9940491441192707,0.45454545454545453,-6.075347185871648,,1322,9128601.38575,1.1323186277418935,-0.8492944496707432,-0.9582697201017811,-0.9320610687022901,1.3818412266639597,A 密集突破
USTCUSDT,11,-0.28090391729196856,-3.089943090211654,2.9928096243023354,0.2727272727272727,-6.0827527145139895,,992,6527004.122724,1.1212314336517888,-0.8925399644760214,-0.9295162078514416,-0.9211597980127056,1.764169556408939,A 密集突破
ZENUSDT,11,-0.28126856262467326,-3.0939541888714057,2.9938172708775452,0.45454545454545453,-6.087771459748951,,1322,13035661.05565,1.1507354244202095,-0.5702127659574467,-0.9018665158371041,-0.8961332784862197,1.8874040881437708,A 密集突破
ICPUSDT,8,-0.40370078855360053,-3.2296063084288043,2.991473134768504,0.375,-6.221079443197308,,1322,33109393.505999997,0.9681858619702127,-0.4413741598207618,-0.8938494668837649,-0.8821366668417459,1.1682885704958559,A 密集突破
MANAUSDT,7,-0.4845885163385298,-3.3921196143697085,1.3934239879054022,0.7142857142857143,-4.78554360227511,,1322,22261242.23365,0.8750161010091967,-0.7854298041818786,-0.923238566131026,-0.9200865265760197,0.6141866902073488,A 密集突破
1000SATSUSDT,4,-0.852637603813217,-3.410550415252868,-0.3889086445277165,0.75,-3.410550415252868,,977,45867129.9106647,1.3327999782464062,-0.9812545454545455,-0.9896977388094139,-0.9881056760498385,1.1272420778717647,A 密集突破
NEARUSDT,11,-0.3416867163036577,-3.758553879340235,2.99172609561753,0.6363636363636364,-6.750279974957765,,1322,130158330.935,1.0047060238705119,0.2864992150706436,-0.8917061077304484,-0.8153031327473519,0.824905106729576,A 密集突破
JUPUSDT,6,-0.6648623808386681,-3.989174285032009,1.0607287247317192,0.3333333333333333,-5.049903009763728,,927,43678568.8191,1.0710357586829784,-0.7443053250867401,-0.9212774496875179,-0.9028152055501405,0.5161473476085854,A 密集突破
ORDIUSDT,4,-1.0062702011339129,-4.025080804535651,-1.005259925184023,0.5,-4.025080804535651,,1012,99792216.16780001,1.6598993240564541,-0.7469026548672566,-0.9753807397228902,-0.9607007901064926,5.646415995902582,A 密集突破
STXUSDT,4,-1.0076209190686187,-4.030483676274475,-1.0062151494291767,0.5,-4.030483676274475,,1271,39599501.6815,1.0283379611323051,-0.8120960295475531,-0.9666666666666667,-0.9666666666666667,1.0184450693986535,A 密集突破
JOEUSDT,4,-1.0081227373442727,-4.032490949377091,-1.0064842767327267,0.25,-4.032490949377091,,1235,4622546.44095,1.0563353448108488,-0.9517085862966175,-0.979473125884017,-0.9753889674681754,1.1535358825504405,A 密集突破
