family,label,sharpe,ret,maxdd,calmar,expo,trades,sharpe_is,sharpe_oos,ret_oos
VI,VI(58),0.16990829167791288,0.01366467608525479,-0.34838517440711925,0.014959545648196107,0.4805876180482686,23,0.7236063513920284,-1.0393168794225218,-0.24436124308430462
VI,VI(60),0.2958078122194971,0.12176738332302572,-0.3331174955637941,0.13506246024134966,0.4669464847848898,20,0.8135495741081219,-0.8052570059193718,-0.1984987752039259
SMA,C>SMA(20),0.6365133813997308,0.4817932573201982,-0.3271432799204481,0.496878682552125,0.5036726128016789,50,1.1514542188445942,-0.3783065829108922,-0.12254665659715869
SMA,C>SMA(28),0.5406753526146826,0.3645069050928105,-0.37359834689864346,0.3383535282912544,0.49527806925498424,45,1.10199863055031,-0.6144678855414164,-0.16597689061293364
SMA,C>SMA(36),0.6857339766294018,0.5412086677627468,-0.30682690412680647,0.5872621390924836,0.5015739769150053,37,1.3984923892017211,-0.8885605642003364,-0.2112810397558894
SMA,C>SMA(44),0.7735902873829,0.6487909615605123,-0.22785749632389507,0.9263907398694858,0.5036726128016789,30,1.282998474934761,-0.3173944805411858,-0.09565624945113183
SMA,C>SMA(52),0.676415380551177,0.5242218806438954,-0.3012098401823764,0.5816171720852883,0.4963273871983211,29,1.13718736595527,-0.32055565543220393,-0.09540872218178054
SMA,C>SMA(60),0.36681335373985,0.18593337208576433,-0.36531349637378274,0.18475453998550012,0.4837355718782791,26,0.6343401258988015,-0.21036932710592893,-0.06973033313401089
SMA,C>SMA(68),0.17272909873388503,0.02244813611647878,-0.34119124995241246,0.025026517686554377,0.4627492130115425,26,0.571434059833891,-0.8100698116265499,-0.16913270792237733
SMA,C>SMA(76),0.22838335747222038,0.06721349559384726,-0.3265646714965137,0.07725140621649079,0.4522560335781742,22,0.6426673898711782,-0.7577677880943305,-0.16056191518350116
SMA,C>SMA(84),0.34107286021914063,0.15561513872562838,-0.2989694851224869,0.1905127976864514,0.440713536201469,19,0.6908796830942368,-0.45707786925172283,-0.10128492157033087
SMA,C>SMA(92),0.22636778177244557,0.06785994555422303,-0.3369206392330958,0.07558274286513184,0.43756558237145854,20,0.5509545770671446,-0.5264008169914813,-0.11336390880775782
SMA,C>SMA(100),0.11120882119671796,-0.012885255111387717,-0.33598691328541397,-0.014747065411235404,0.440713536201469,21,0.4101955382375361,-0.5714091697766868,-0.1238914567345677
SMA,C>SMA(108),0.5025428923626886,0.29292215757229356,-0.2801592538410549,0.3690699783120806,0.4459601259181532,19,1.103339026717112,-0.8370714722590753,-0.17101684144402574
SMA,C>SMA(116),0.4093857664272213,0.2121696244050406,-0.2578274471970987,0.296621955199783,0.4459601259181532,15,0.9015528384117028,-0.677845510067295,-0.1452990813606312
SMA,C>SMA(124),0.4697116164087742,0.2590597651362756,-0.2446270227497681,0.3770615407575856,0.43756558237145854,15,0.9509662823151406,-0.5643603502111267,-0.1243733678924892
SMA,C>SMA(132),0.43958522330497607,0.23462354662756368,-0.23708535959300703,0.35460333736642174,0.42917103882476393,16,0.8393156164573169,-0.43662282626305376,-0.09966839409964412
