symbol,笔数,胜率,期望R,总R,多/空,止损宽度,币价涨跌,日均成交额,年化波动,rule
YGGUSDT,4,0.25,-0.007143412867855803,-0.02857365147142321,3/1,0.17844326184561388,-0.9559790895229797,13478433.14855,1.2195207399455545,A 密集突破
ZECUSDT,9,0.4444444444444444,0.8705179493277065,7.834661543949359,5/4,0.11174214303390244,12.245232339511148,24582014.308339998,1.0994358564619076,A 密集突破
ZENUSDT,11,0.18181818181818182,-0.2812685626246733,-3.0939541888714066,6/5,0.1445005364542051,-0.5702127659574467,13035661.05565,1.1507354244202095,A 密集突破
ZETAUSDT,2,0.5,0.8294396376874568,1.6588792753749135,1/1,0.17792274525370105,-0.983649530193309,7000108.2111,1.1530471091060213,A 密集突破
ZILUSDT,8,0.125,-0.77550200795662,-6.20401606365296,2/6,0.15990186206055707,-0.8575906576521205,10137250.22841,0.8220436582446768,A 密集突破
ZKUSDT,2,0.0,-1.0075303246705305,-2.015060649341061,0/2,0.18159596893313998,-0.964868544600939,15652381.74312,1.1924204422575584,A 密集突破
ZROUSDT,6,0.16666666666666666,-0.34256753572747,-2.05540521436482,3/3,0.14486547690530116,-0.7682877111240536,30386533.31125,1.113926995611078,A 密集突破
ZRXUSDT,11,0.18181818181818182,-0.5006919124164448,-5.507611036580894,5/6,0.13838113985751802,-0.4890365448504983,9459269.312479999,0.996546861948066,A 密集突破
1000LUNCUSDT,4,0.0,-1.0938023366940541,-4.3752093467762165,0/4,0.02878375701795352,-0.6800399201596806,23133002.466035,1.062389461627899,B 回踩20均线
1000RATSUSDT,4,0.5,0.9843707746218746,3.9374830984874984,2/2,0.13544332177712362,-0.9101381953315526,16526907.611005,1.9195912947232947,B 回踩20均线
1000SATSUSDT,6,0.3333333333333333,0.29924055554736523,1.7954433332841913,0/6,0.05321219074031018,-0.9812545454545455,45867129.9106647,1.3327999782464062,B 回踩20均线
1000XECUSDT,6,0.16666666666666666,-0.3796854770256713,-2.278112862154028,3/3,0.052120385710942636,-0.7065610859728506,4782859.831695,0.931348538165273,B 回踩20均线
1INCHUSDT,9,0.1111111111111111,-0.5922064346512075,-5.329857911860867,4/5,0.042451505034017414,-0.7846952010376135,13217573.19145,0.8520523403708453,B 回踩20均线
AAVEUSDT,8,0.375,0.47608695998542916,3.8086956798834333,6/2,0.0579884112005921,0.6592436168170475,92689158.3555,0.8938253727915497,B 回踩20均线
ACEUSDT,5,0.6,1.2425823533806377,6.212911766903188,0/5,0.05449936734093791,-0.9817699229623875,7347945.822764,1.4149099514999004,B 回踩20均线
ACHUSDT,8,0.125,-0.5262621454327128,-4.210097163461702,4/4,0.05590299875054164,-0.908960810215764,11468328.295704499,1.0760650605765107,B 回踩20均线
ADAUSDT,9,0.3333333333333333,0.3108027448073076,2.797224703265768,4/5,0.06426735324935724,-0.27942353883106485,252253826.3764,0.8764006719792905,B 回踩20均线
AEVOUSDT,3,0.6666666666666666,1.6548331534816352,4.964499460444905,0/3,0.1114690732764175,-0.993984520123839,9208007.74261,1.179192790989905,B 回踩20均线
AGLDUSDT,7,0.2857142857142857,0.1139365432842138,0.7975558029894967,2/5,0.07167879370654795,-0.7838774150566289,6366980.5359,1.3288607413806914,B 回踩20均线
ALGOUSDT,7,0.14285714285714285,-0.4521184285792357,-3.1648290000546497,4/3,0.06883509926701976,-0.5507058159232072,30455845.58125,0.8812357385211553,B 回踩20均线
ALICEUSDT,7,0.2857142857142857,0.12451317874923859,0.8715922512446701,3/4,0.07083333440416686,-0.8492944496707432,9128601.38575,1.1323186277418935,B 回踩20均线
ALTUSDT,1,1.0,2.988477159422679,2.988477159422679,0/1,0.11281940345149422,-0.9817055755619024,13400340.03177,1.1363421300342793,B 回踩20均线
ANKRUSDT,6,0.16666666666666666,-0.3588441488989746,-2.1530648933938474,3/3,0.051126591119017684,-0.7850383631713556,7884265.092695,0.8377946217041778,B 回踩20均线
APEUSDT,5,0.4,0.5850774545786263,2.9253872728931314,2/3,0.0873672854186611,-0.9680900621118013,49650070.14965,1.0605911722905645,B 回踩20均线
API3USDT,9,0.4444444444444444,0.7478060450777042,6.730254405699338,3/6,0.05582212415555642,-0.8135375494071146,10511999.14481,1.207823101655261,B 回踩20均线
ARKMUSDT,5,0.6,1.002577886685415,5.012889433427075,2/3,0.056598640512381074,-0.8319188191881919,24612118.240450002,1.225011527785685,B 回踩20均线
ARKUSDT,4,0.0,-1.0430875181275443,-4.172350072510177,0/4,0.0297260822235801,-0.8586420734615996,7122542.9016,1.088841162948298,B 回踩20均线
ARPAUSDT,5,0.4,0.580218280664254,2.90109140332127,3/2,0.057592629086004835,-0.6829323308270676,6628525.47933,1.0558433584259561,B 回踩20均线
ARUSDT,7,0.5714285714285714,1.267676609456824,8.873736266197767,2/5,0.09249291875453251,-0.7268154668343288,19627121.42515,1.1404429543765378,B 回踩20均线
ASTRUSDT,6,0.8333333333333334,2.3079498878831544,13.847699327298926,1/5,0.10771601873428226,-0.9431620154059857,6607235.979049999,0.8584672642335706,B 回踩20均线
ATOMUSDT,7,0.14285714285714285,-0.45716492677029635,-3.2001544873920746,3/4,0.06516925117209736,-0.8402961396086727,56883357.58292,0.7407365276001256,B 回踩20均线
AUCTIONUSDT,6,0.0,-1.0362171908899434,-6.2173031453396606,1/5,0.08807215757862802,-0.8998223801065719,11515474.945085,1.2222222503555868,B 回踩20均线
AVAXUSDT,7,0.2857142857142857,0.11874794002022455,0.8312355801415718,5/2,0.06466623983231702,-0.4038674033149171,220123345.986,0.8699347696270143,B 回踩20均线
AXLUSDT,6,0.3333333333333333,-0.14083430863915075,-0.8450058518349045,1/5,0.04425974092341221,-0.9819755961723458,8134723.929513,1.158366990834731,B 回踩20均线
AXSUSDT,6,0.3333333333333333,0.40301420541871735,2.418085232512304,2/4,0.06428892077283427,-0.8590794052515027,31060053.726499997,0.9838035181541251,B 回踩20均线
BANDUSDT,8,0.125,-0.5230037546130434,-4.184030036904347,4/4,0.08990119707944509,-0.8886355539722124,6384257.13319,0.9330414019914545,B 回踩20均线
BATUSDT,6,0.16666666666666666,-0.36087275973546135,-2.165236558412768,4/2,0.05286149648289328,-0.6631766805472933,6861760.31123,0.8221603787834777,B 回踩20均线
BBUSDT,4,0.5,0.9751519979463605,3.900607991785442,1/3,0.07692357729147006,-0.9723299888517279,12281002.00494,1.3348578759484042,B 回踩20均线
BCHUSDT,8,0.125,-0.536897769798688,-4.295182158389504,5/3,0.046777299833494934,1.1165770979743694,139766031.60847998,0.8314204126091417,B 回踩20均线
BEAMXUSDT,2,0.5,0.9752620936851438,1.9505241873702877,1/1,0.06267934273934071,-0.8338427680645556,10804872.9369515,1.0650199073967002,B 回踩20均线
BELUSDT,5,0.0,-1.0506011850686858,-5.253005925343429,4/1,0.08179390254295571,-0.7263934843471622,8696754.009599999,1.1546560367752345,B 回踩20均线
