tf,n,mode,band,sharpe_full,ret_full,dd_full,trades,expo,sharpe_is,ret_is,dd_is,sharpe_oos,ret_oos,dd_oos
1h,20,long_only,0.02,-0.3566580277399456,-0.35549785982877935,-0.5887642137574016,805,0.5166994106090373,0.48945679233667505,0.18033044818045751,-0.3063687687489903,-1.7967246521316305,-0.453964657808531,-0.5272104213642914
1h,20,long_only,0.04,-0.2975264714055693,-0.32192796557190184,-0.5977755441928236,664,0.516437459070072,0.46942610471750246,0.16774714207508912,-0.3314488260837031,-1.6036325265709335,-0.41933316726156633,-0.5204258587237893
1h,20,long_only,0.06,-0.2791473008205339,-0.31235744189519976,-0.6389109562897558,568,0.5189696572800698,0.5485412438996004,0.2182764329053355,-0.33572031531287994,-1.6975703430348335,-0.4355611423386767,-0.550489171016856
1h,22,ls,0.0,-1.4796568323645767,-0.8825948371910778,-0.8986760450007467,1954,0.9989958524339664,-1.2141865391091093,-0.6792966509820537,-0.7174694015608802,-1.937448877674302,-0.6339135117595793,-0.6684994758527928
1h,22,ls,0.02,-1.6865423973007607,-0.9092671296160044,-0.9214708614858912,1510,0.9989958524339664,-1.3512113582121,-0.7113713682586713,-0.7523244526817695,-2.2617393990219323,-0.685641476950525,-0.7178473169887303
1h,22,ls,0.04,-1.7811855744751954,-0.9193347758094965,-0.930062923834443,1242,0.9989521938441388,-1.604720267561438,-0.762796779263728,-0.7966393069103199,-2.096061937477291,-0.6599320028618466,-0.6941495867654449
1h,22,ls,0.06,-1.3096468417573275,-0.854521798905796,-0.9002403655321296,1036,0.9989521938441388,-1.4939604238196809,-0.7414756011268605,-0.778444712130367,-1.022237458801238,-0.437274772793916,-0.606941130222013
1h,22,long_only,0.0,-0.6827122776098347,-0.5077500445777852,-0.6646954108305856,977,0.518576729971622,0.17064361023607297,-0.0029355454745025877,-0.33684398846464714,-2.1763502938533823,-0.5063007680316158,-0.5588126241697737
1h,22,long_only,0.02,-0.8423168338135643,-0.5664045451375349,-0.6931339065044826,755,0.5194499017681729,0.07181497016355702,-0.052193061756706904,-0.3542468866019065,-2.4232981246879235,-0.5425276632115525,-0.5942458861794777
1h,22,long_only,0.04,-0.9130539324853464,-0.5922752401387316,-0.6992571918547397,621,0.5176162409954158,-0.11857002706741955,-0.14370138227998963,-0.38918023249159683,-2.317092517227308,-0.5238521335619069,-0.5797426950621772
1h,22,long_only,0.06,-0.5609083989310104,-0.45255766021138577,-0.634779724823592,518,0.519537218947828,-0.036928839473126376,-0.10664866667011763,-0.41107733811464253,-1.4976312617164904,-0.3872037580689842,-0.4755647964263394
1h,24,ls,0.0,-2.59963473366895,-0.9710794468644757,-0.9744138649101549,1864,0.9989085352543113,-3.0666169045338885,-0.9238139556376946,-0.9316835702026554,-1.8616910843297982,-0.6203956593678539,-0.6662617037711891
