band,vi_len,exit,hold,sharpe,total,expo,bench_sharpe,edge
range,10,reenter,12,0.047912097751110314,0.00354567150591123,0.00821355644572841,0.5756674061522762,-0.5277553084011659
range,10,reenter,30,0.047912097751110314,0.00354567150591123,0.00821355644572841,0.5756674061522762,-0.5277553084011659
range,10,retrace,0,0.5700914106030978,0.18761126951766927,0.029784976804228886,0.5756674061522762,-0.005575995549178425
range,10,retrace,12,0.5612207722525385,0.17617702555968817,0.02172128125108081,0.5756674061522762,-0.01444663389973766
range,10,retrace,30,0.5867954578915054,0.19350268917853097,0.02907724668369907,0.5756674061522765,0.011128051739228928
range,14,reenter,0,0.6571371457050323,0.21054101081797283,0.011353084138931194,0.5756674061522762,0.08146973955275616
range,14,reenter,12,0.6473875666446507,0.20656204877326645,0.011298645494862173,0.5756674061522764,0.07172016049237429
range,14,reenter,30,0.6571371457050323,0.21054101081797283,0.011353084138931194,0.5756674061522762,0.08146973955275616
range,14,retrace,0,0.6555379364658895,0.21493493553354237,0.033601354351703146,0.5756674061522762,0.07987053031361335
range,14,retrace,12,0.5588287639477031,0.1616384226579901,0.02266602457930419,0.5756674061522764,-0.016838642204573318
range,14,retrace,30,0.7201695099385383,0.23833997664303386,0.031758583432790054,0.5756674061522764,0.14450210378626194
range,21,reenter,0,0.7353003519702823,0.24241613811705287,0.01784192640178361,0.5756674061522765,0.1596329458180058
range,21,reenter,12,0.6671005018269223,0.2147257318018081,0.0176640007645127,0.5756674061522762,0.09143309567464608
range,21,reenter,30,0.7353003519702823,0.24241613811705287,0.01784192640178361,0.5756674061522765,0.1596329458180058
range,21,retrace,0,0.7261473577141905,0.3069370150157942,0.04846298908703468,0.5756674061522762,0.1504799515619143
range,21,retrace,12,0.7029318763235652,0.2637295457185984,0.029193749832530144,0.5756674061522761,0.12726447017128917
range,21,retrace,30,0.7160431939114951,0.2908984791921987,0.04147483660866889,0.5756674061522763,0.14037578775921877
